 ,Area,Mean,Min,Max,X,Y,Ch,Counter,Count
352,0,40,40,40,184.000,321.750,1,2,71
353,0,28,28,28,195.250,347.500,1,3,100
354,0,82,82,82,185.750,350.000,1,3,100
355,0,80,80,80,184.500,343.500,1,3,100
356,0,46,46,46,173.000,354.750,1,2,71
357,0,74,74,74,285.500,247.750,1,3,100
358,0,28,28,28,198.750,235.250,1,3,100
359,0,228,228,228,302.750,254.250,1,3,100
360,0,176,176,176,308.750,253.750,1,3,100
361,0,56,56,56,145.750,221.500,1,3,100
362,0,66,66,66,209.000,283.000,1,3,100
363,0,44,44,44,194.750,296.250,1,2,71
364,0,34,34,34,245.750,255.000,1,3,100
365,0,54,54,54,247.500,206.000,1,3,100
366,0,32,32,32,246.250,211.000,1,3,100
367,0,32,32,32,159.250,221.750,1,2,71
368,0,48,48,48,272.500,138.750,1,2,71
369,0,112,112,112,268.750,96.750,1,3,100
370,0,48,48,48,274.000,102.750,1,3,100
371,0,34,34,34,267.750,108.000,1,2,71
372,0,36,36,36,145.000,119.750,1,0,133
373,0,56,56,56,210.000,9.500,1,3,100
374,0,80,80,80,215.750,12.250,1,3,100
375,0,44,44,44,210.750,15.750,1,2,71
376,0,30,30,30,231.750,17.750,1,2,71
377,0,82,82,82,123.250,8.000,1,1,85
378,0,46,46,46,132.750,2.750,1,3,100
379,0,38,38,38,114.000,3.250,1,3,100
380,0,36,36,36,39.750,7.500,1,2,71
381,0,66,66,66,274.750,308.250,1,1,85
382,0,100,100,100,292.750,299.750,1,3,100
383,0,34,34,34,359.500,320.500,1,1,85
384,0,26,26,26,367.000,295.000,1,1,85
385,0,20,20,20,379.500,320.000,1,0,133
386,0,32,32,32,217.167,323.167,1,2,71
387,0,74,74,74,265.750,165.000,1,3,100
388,0,76,76,76,262.750,161.250,1,3,100
389,0,88,88,88,260.000,154.500,1,1,85
